OTU id	GC content	stem length	length of U-rich sequence	# of prediction / CDS	# of prediction / KB in IGR	gene length	loop length	gene number	genome size	igr length	# downstream	# threeprime	Taxonomy
OTU-19400	60.0557899999999	13	5	0.358	4.021	4198569	5	4378	4745393	546824	1101	465	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__
OTU-19414	63.5843199999999	13	3	0.415	3.746	8093664	4	9262	9558895	1465231	2958	887	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium elkanii
OTU-19419	72.61112	15	0	0.396	4.514	3592275	4	3624	3980161	387886	966	468	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__
OTU-19421	69.64335	15	0	0.353	3.699	6636351	4	6764	7323073	686722	1449	937	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia neocaledoniensis
OTU-19441	60.0685299999999	14	4	0.378	4.362	6339765	5	6502	7107743	767978	1855	606	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E grimontii
OTU-19450	34.6641	13	8	0.333	3.456	3140637	4	3406	3493887	353250	681	452	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium_A;s__Flavobacterium_A ummariense
OTU-19455	64.2338499999999	15	3	0.257	2.518	4298598	5	4700	4924407	625809	915	293	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus marinonascens
OTU-19462	42.29931	14	8	0.433	4.619	1765227	4	1892	1980231	215004	469	350	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
OTU-19482	38.30691	16	8	0.378	3.317	1999530	5	2282	2300992	301462	423	439	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Jeotgalibaca;s__Jeotgalibaca sp001975685
OTU-19498	44.1232599999999	11	6	0.226	2.122	1635894	5	1974	1918207	282313	293	153	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__SW-11-45-7;g__SW-11-45-7;s__SW-11-45-7 sp003022985
OTU-19523	28.96973	10	7	0.198	0.656	956289	6	987	1314789	358500	128	67	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Ehrlichia;s__Ehrlichia canis
OTU-19535	34.19217	12	8	0.395	3.129	1878264	4	2107	2060420	182156	237	596	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
OTU-19546	35.00981	12	7	0.267	3.374	3018495	4	2942	3286688	268193	515	271	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
OTU-19551	43.92702	15	7	0.281	4.309	2494086	5	2545	2741496	247410	537	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__
OTU-19560	64.54926	12	3	0.373	4.079	4516023	4	4745	5040141	524118	1259	511	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinibacterium;s__
OTU-19566	47.91624	12	6	0.4	6.244	3484344	4	3110	3804669	320325	962	282	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter sp900177805
OTU-19579	34.5289999999999	10	7	0.253	0.735	848280	6	803	1518636	670356	145	58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Endolissoclinum;s__Endolissoclinum faulkneri_A
OTU-19652	44.00577	14	7	0.285	3.945	871359	4	949	975546	104187	195	75	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__GWA2-36-10;g__FEB-17;s__FEB-17 sp003104935
OTU-19663	40.4354799999999	13	7	0.289	3.202	1996422	6	1882	2245017	248595	398	145	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__UBA1232;s__
OTU-19676	35.94183	15	8	0.423	3.255	3375441	5	3975	4016876	641435	1052	630	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Paenisporosarcina;s__Paenisporosarcina quisquiliarum
OTU-19685	53.41236	10	5	0.12	1.828	2050779	4	2120	2236758	185979	191	63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002683335
OTU-19692	32.39593	14	7	0.347	2.803	2716794	5	3036	3120648	403854	630	424	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Proteiniboraceae;g__UBA6767;s__UBA6767 sp900095305
OTU-19727	37.59684	13	7	0.275	2.778	503670	6	571	573144	69474	100	57	d__Bacteria;p__Patescibacteria;c__CPR2;o__UBA1875;f__UBA1875;g__UBA7522;s__UBA7522 sp002476865
OTU-19753	51.93871	12	5	0.34	4.033	3846639	4	3737	4322488	475849	1047	224	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Rubritalea;s__Rubritalea squalenifaciens
OTU-19760	28.59296	16	8	0.358	3.361	2546343	4	2833	2878646	332303	573	442	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani
OTU-19786	54.76996	14	5	0.227	3.793	1740981	4	2179	1938168	197187	340	155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis
OTU-19806	59.80289	15	5	0.472	5.317	1883247	5	1833	2138100	254853	687	179	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-19821	43.67463	11	6	0.202	2.315	2641311	5	2610	2947553	306242	393	134	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002457215
OTU-19826	50.81854	15	6	0.348	5.21	2555931	5	2584	2807936	252005	686	212	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;s__
OTU-19831	43.9829	13	7	0.49	4.863	4902240	4	5061	5677079	774839	2182	297	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio gigantis
OTU-19882	49.62549	13	6	0.288	3.86	927666	4	951	1032069	104403	183	91	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__GWA2-37-8;g__XYD2-FULL-39-9;s__
OTU-19888	51.53613	13	6	0.452	4.124	3264993	4	3458	3836772	571779	1362	200	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas shigelloides
OTU-19890	34.25045	10	7	0.09	2.514	864735	4	941	892177	27442	35	50	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__TMED112;g__TMED112;s__TMED112 sp003278815
OTU-19902	69.1129	13	0	0.291	3.757	2839194	5	3278	3161245	322051	655	300	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium thermophilum
OTU-19911	64.88533	12	4	0.173	3.892	2238033	4	2474	2355186	117153	248	180	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus antranikianii
OTU-19935	37.0094099999999	15	8	0.37	4.086	3977730	4	3841	4425125	447395	1036	387	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga;s__Cytophaga aurantiaca
OTU-19980	38.39496	11	6	0.141	2.19	1224702	5	1230	1324263	99561	107	67	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__UBA12463;g__UBA12463;s__UBA12463 sp000993595
OTU-19986	60.15076	14	5	0.488	5.587	1813734	4	1770	2071477	257743	703	160	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-19988	59.91203	15	5	0.372	5.566	1186908	5	1393	1339630	152722	418	100	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-20000	65.27939	13	4	0.436	4.919	4835610	4	4745	5387355	551745	1470	599	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia sp001424165
OTU-20008	52.01462	15	5	0.477	5.212	1820664	5	2100	2138393	317729	772	229	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria lactamica_A
OTU-20010	43.3757399999999	15	7	0.304	4.174	640587	4	749	726117	85530	149	79	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA1539;g__UBA1550;s__UBA1550 sp003483855
OTU-20028	38.15105	16	8	0.449	4.187	2567658	4	3100	2976740	409082	920	473	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__Kurthia senegalensis
OTU-20033	59.49397	11	4	0.253	4.169	3969432	4	4237	4315322	345890	739	333	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas;s__Dechloromonas sp002842145
OTU-2012	42.16108	15	9	0.354	3.744	1381536	5	1481	1548184	166648	324	201	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__
OTU-20131	41.41683	13	5	0.425	3.132	8086221	5	7984	9963103	1876882	2475	919	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Aulosira;s__Aulosira sp002368195
OTU-20147	64.51748	13	4	0.528	5.202	4304808	4	4403	4949615	644807	1772	553	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__
OTU-2015	48.1537699999999	13	6	0.32	3.282	1539492	5	1465	1762218	222726	379	90	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-314;g__;s__
OTU-20163	37.9637899999999	13	8	0.337	4.662	2764161	4	2758	3012773	248612	648	281	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-20167	45.88775	12	6	0.38	3.67	4364829	4	4580	5131416	766587	1495	244	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella oneidensis
OTU-20196	29.01359	14	9	0.304	3.273	1966302	5	2178	2190589	224287	386	276	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__
OTU-20208	46.1288799999999	15	7	0.291	3.963	2025621	5	2553	2286055	260434	557	186	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__
OTU-20211	45.15795	12	6	0.232	3.065	1044231	5	1295	1199200	154969	246	54	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__
OTU-20240	54.5823	11	5	0.118	1.26	3215016	5	3704	3706191	491175	334	102	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__;s__
OTU-20241	43.38509	12	7	0.144	1.559	643353	4	1798	1062132	418779	199	60	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA6164;g__UBA5532;s__UBA5532 sp002426885
OTU-20244	43.47229	14	8	0.259	4.747	1844124	4	1905	1983378	139254	342	152	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__
OTU-20246	61.77976	13	4	0.224	3.154	2524617	4	2872	2766224	241607	410	233	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A sp003248395
OTU-20252	48.2947	15	6	0.364	4.896	1712283	4	1615	1893651	181368	441	147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__
OTU-20258	59.5802999999999	14	5	0.405	5.211	1646562	5	1829	1874529	227967	596	145	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-20305	61.14688	15	5	0.428	4.316	2422224	5	2584	2776932	354708	834	272	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Firm-10;s__
OTU-20306	40.83822	12	8	0.292	4.248	511251	5	572	565389	54138	120	47	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__
OTU-20321	68.83254	17	3	0.346	4.289	8599272	4	8518	9488490	889218	2043	900	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis sp002849735
OTU-20325	42.5356699999999	11	6	0.199	2.845	2951778	5	3023	3222077	270299	433	170	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Denitrovibrio;s__Denitrovibrio acetiphilus
OTU-20333	53.11317	12	4	0.146	2.687	2525400	4	2817	2737535	212135	309	103	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__;g__;s__
OTU-20337	34.9330999999999	14	8	0.396	4.241	2504397	5	2794	2806656	302259	769	337	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Tepidibacillales;f__Tepidibacillaceae;g__UBA6259;s__UBA6259 sp002441135
OTU-20363	72.19185	15	0	0.322	4.342	3428430	4	3473	3723718	295288	718	399	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__;s__
OTU-20380	31.54521	13	8	0.256	3.618	3611913	4	3408	3894628	282715	553	320	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flaviramulus_A;s__Flaviramulus_A sp002741945
OTU-20430	36.37493	14	8	0.395	3.803	4546746	4	4663	5154944	608198	1379	465	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp900156935
OTU-20444	37.25687	16	8	0.343	3.296	1788768	5	2018	2117633	328865	557	135	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_O;s__Lactobacillus_O oeni
OTU-20467	51.50629	13	6	0.359	4.144	6226704	4	5546	6934298	707594	1566	424	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__
OTU-20522	58.3553699999999	13	4	0.389	3.873	5757684	4	6818	6730269	972585	2157	496	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002277815
OTU-20534	35.3333599999999	16	8	0.372	2.941	2005626	5	2230	2284396	278770	450	379	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum
OTU-20560	45.69811	13	8	0.305	4.563	3035922	5	3067	3306781	270859	647	289	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-2057	41.89157	13	7	0.229	3.208	685416	4	715	749639	64223	98	66	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__
OTU-20573	68.17304	12	4	0.336	5.275	4312203	5	4427	4671828	359625	974	514	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alicycliphilus;s__Alicycliphilus denitrificans
OTU-20583	39.66838	14	7.5	0.392	3.863	1807623	5	1972	2026898	219275	441	333	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_H
OTU-20600	58.68645	12	4	0.217	3.196	2643267	5	2977	2884818	241551	440	207	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP181;s__NORP181 sp002400675
OTU-20617	70.35691	15	0	0.388	4.07	2540085	4	2671	2878449	338364	766	271	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia polynesiensis
OTU-20623	39.9456599999999	12	7	0.389	4.564	2115474	4	2304	2351866	236392	616	281	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter sp001999285
OTU-20626	46.6728699999999	14	6	0.297	4.07	3920562	5	3692	4322077	401515	759	337	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
OTU-20639	28.36903	16	8	0.401	3.021	3576072	5	4015	4337414	761342	1125	487	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_Z;s__Clostridium_Z frigidicarnis
OTU-20650	52.96024	14	6	0.304	4.874	2584518	5	2443	2849207	264689	582	161	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__
OTU-20654	38.1330899999999	12	6	0.23	2.907	746382	4	922	839957	93575	140	72	d__Bacteria;p__Patescibacteria;c__UBA1384;o__UBA12157;f__UBA12157;g__;s__
OTU-20659	57.0364499999999	13	5	0.258	2.76	2893443	5	3240	3312319	418876	667	170	d__Bacteria;p__Firmicutes_K;c__Alicyclobacillia;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus_G;s__Alicyclobacillus_G herbarius
OTU-2068	63.4375599999999	12	4	0.16	2.688	2570628	4	2503	2732467	161839	236	165	d__Bacteria;p__Acidobacteriota;c__Mor1;o__;f__;g__;s__
OTU-20696	37.86752	15	7	0.317	2.706	1386465	5	1213	1602630	216165	310	75	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_A
OTU-20713	45.20709	14	8	0.394	4.419	1514145	4	1607	1670746	156601	376	257	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001578885
OTU-20746	43.40365	14	7	0.323	4.258	5896263	5	5090	6480077	583814	1213	429	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides timonensis
OTU-2078	41.3530099999999	16	7	0.307	3.689	2714367	5	2860	3030707	316340	647	230	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B
OTU-20782	41.6061399999999	14	8	0.315	5.076	927786	4	1076	1044817	117031	264	75	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__UBA12086;s__UBA12086 sp002784795
OTU-20783	59.17895	11	5	0.275	5.732	1568088	5	1667	1673283	105195	336	122	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Sulfurivirgaceae;g__Sulfurivirga;s__Sulfurivirga caldicuralii
OTU-20792	51.54504	13	6	0.327	5.201	1991040	4	2046	2181785	190745	498	172	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ISDg;s__ISDg sp002308955
OTU-20807	51.87998	15	6	0.349	4.232	1722978	4	1701	1963050	240072	479	115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sp002431355
OTU-20811	41.4903399999999	10	6	0.147	2.068	1875912	5	1854	2030629	154717	172	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002714195
OTU-20819	39.8855399999999	14	7	0.205	2.966	901725	4	1142	1009286	107561	164	70	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2169;f__UBA2169;g__CG1-02-41-12;s__CG1-02-41-12 sp002787075
OTU-20820	37.98081	14	7	0.302	2.213	815316	4	895	978878	163562	185	85	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GCA-002787255;g__GCA-002787255;s__GCA-002787255 sp002787255
OTU-20821	34.8104499999999	11	7	0.196	2.167	481242	5	581	543537	62295	64	50	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GCA-002788555;g__GCA-002788555;s__GCA-002788555 sp002788555
OTU-20849	60.11333	12	4	0.373	4.404	3563991	4	3711	3982512	418521	1045	338	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_S
OTU-20891	38.35071	11.5	7	0.18	2.94	2898723	5	3076	3141257	242534	377	177	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__UBA4459;s__UBA4459 sp002869465
OTU-20894	57.62872	12	4	0.261	2.42	4395288	5	4968	5112986	717698	964	333	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__
OTU-20902	36.25304	14	8	0.369	3.022	4620729	4	4224	5319962	699233	1206	351	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum manganireducens
OTU-20910	54.1283399999999	11	5	0.14	3.019	2296425	5	2579	2452447	156022	224	138	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodovibrio;s__
OTU-20963	44.3316299999999	11	7	0.236	3.563	1219647	4	1238	1317603	97956	216	76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Dichelobacter;s__Dichelobacter nodosus
OTU-21025	62.7342199999999	14	4	0.281	3.626	2997924	5	3218	3306530	308606	588	317	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__Croceicoccus pelagius
OTU-21056	45.29181	11	6	0.189	3.644	1873755	4	1993	2008240	134485	263	114	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter hirudinilacicola
OTU-21080	41.41082	13	7	0.338	2.255	2515713	5	2920	2758325	242612	214	773	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus gonensis
OTU-21099	45.4064999999999	12	7	0.256	3.291	3459240	4	3563	3755232	295992	598	313	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_B
OTU-21105	50.85224	14	6	0.371	3.656	7295508	5	6439	8176205	880697	1626	760	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Larkinella;s__
OTU-21113	57.10182	10	4	0.122	1.707	1730340	4	2396	2005017	274677	204	89	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003211535
OTU-21160	37.04741	16	8	0.389	3.532	2250969	5	2425	2527601	276632	516	428	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Pelagirhabdus;s__Pelagirhabdus alkalitolerans
OTU-21165	68.1710699999999	16	3	0.382	4.914	3327159	4	3379	3666811	339652	997	295	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microterricola;s__
OTU-21185	57.7987799999999	12	4	0.179	1.474	4779729	5	4120	5467700	687971	570	167	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula_B;s__
OTU-21187	62.21851	12	4	0.275	4.515	5995089	4	5745	6428745	433656	926	654	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__Duganella sp900100205
OTU-21201	69.04301	13	0	0.418	3.739	5127420	4	5556	5943875	816455	1648	676	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium populi_A
OTU-21209	73.37947	17	0	0.485	4.401	5710443	4	5571	6501581	791138	2034	666	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__
OTU-21229	60.0000299999999	12	4	0.343	3.263	5991804	4	6558	6923224	931420	1660	591	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__
OTU-21240	51.78306	13	5	0.344	3.646	2732712	5	2348	3111454	378742	607	201	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900319905
OTU-21256	45.98431	11	5	0.099	2.396	757887	4	920	813806	55919	56	35	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__Amesbacteraceae;g__GWC2-45-19;s__GWC2-45-19 sp001001555
OTU-21261	70.6984299999999	15	3	0.29	4.069	8386674	5	8468	9121443	734769	1577	876	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis albispora
OTU-21279	32.3266899999999	13	10	0.202	3.061	695901	4.5	828	723347	27446	38	129	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA8290;s__UBA8290 sp003497445
